['/home/rowleya/SpiNNaker/SpiNNUtils/spinn_utilities/spinn_utilities.cfg', '/home/rowleya/SpiNNaker/SpiNNMachine/spinn_machine/spinn_machine.cfg', '/home/rowleya/SpiNNaker/PACMAN/pacman/pacman.cfg', '/home/rowleya/SpiNNaker/SpiNNMan/spinnman/spinnman.cfg', '/home/rowleya/SpiNNaker/DataSpecification/data_specification/data_specification.cfg', '/home/rowleya/SpiNNaker/SpiNNFrontEndCommon/spinn_front_end_common/interface/spinnaker.cfg', '/home/rowleya/SpiNNaker/sPyNNaker/spynnaker/pyNN/spynnaker.cfg', '/home/juan/.spynnaker.cfg']
Sending x=16, y=12, polarity=1, packed=0x8010800c
Sending x=18, y=0, polarity=1, packed=0x80128000
Sending x=7, y=2, polarity=1, packed=0x80078002
Sending x=7, y=15, polarity=1, packed=0x8007800f
Sending x=3, y=14, polarity=1, packed=0x8003800e
Sending x=18, y=16, polarity=1, packed=0x80128010
Sending x=8, y=12, polarity=1, packed=0x8008800c
Sending x=9, y=5, polarity=1, packed=0x80098005
Sending x=0, y=0, polarity=1, packed=0x80008000
Sending x=0, y=6, polarity=1, packed=0x80008006
Sending x=3, y=12, polarity=1, packed=0x8003800c
Sending x=9, y=10, polarity=1, packed=0x8009800a
Sending x=11, y=8, polarity=1, packed=0x800b8008
Sending x=7, y=2, polarity=1, packed=0x80078002
Sending x=11, y=5, polarity=1, packed=0x800b8005
Sending x=11, y=4, polarity=1, packed=0x800b8004
Sending x=17, y=13, polarity=1, packed=0x8011800d
Sending x=9, y=10, polarity=1, packed=0x8009800a
Sending x=13, y=1, polarity=1, packed=0x800d8001
Sending x=20, y=12, polarity=1, packed=0x8014800c
Sending x=8, y=13, polarity=1, packed=0x8008800d
Sending x=13, y=17, polarity=1, packed=0x800d8011
Sending x=16, y=13, polarity=1, packed=0x8010800d
Sending x=1, y=15, polarity=1, packed=0x8001800f
Sending x=6, y=0, polarity=1, packed=0x80068000
Sending x=0, y=12, polarity=1, packed=0x8000800c
Sending x=4, y=16, polarity=1, packed=0x80048010
Sending x=12, y=8, polarity=1, packed=0x800c8008
Sending x=15, y=16, polarity=1, packed=0x800f8010
Sending x=9, y=9, polarity=1, packed=0x80098009
Sending x=17, y=2, polarity=1, packed=0x80118002
Sending x=22, y=17, polarity=1, packed=0x80168011
Sending x=20, y=14, polarity=1, packed=0x8014800e
Sending x=19, y=14, polarity=1, packed=0x8013800e
Sending x=5, y=15, polarity=1, packed=0x8005800f
Sending x=16, y=2, polarity=1, packed=0x80108002
Sending x=10, y=0, polarity=1, packed=0x800a8000
Sending x=2, y=12, polarity=1, packed=0x8002800c
Sending x=12, y=16, polarity=1, packed=0x800c8010
Sending x=13, y=12, polarity=1, packed=0x800d800c
Sending x=5, y=2, polarity=1, packed=0x80058002
Sending x=18, y=14, polarity=1, packed=0x8012800e
Sending x=12, y=14, polarity=1, packed=0x800c800e
Sending x=1, y=1, polarity=1, packed=0x80018001
Sending x=10, y=14, polarity=1, packed=0x800a800e
Sending x=10, y=13, polarity=1, packed=0x800a800d
Sending x=22, y=2, polarity=1, packed=0x80168002
Sending x=15, y=12, polarity=1, packed=0x800f800c
Sending x=10, y=0, polarity=1, packed=0x800a8000
Sending x=18, y=6, polarity=1, packed=0x80128006
Sending x=21, y=15, polarity=1, packed=0x8015800f
Sending x=7, y=11, polarity=1, packed=0x8007800b
Sending x=9, y=14, polarity=1, packed=0x8009800e
Sending x=6, y=1, polarity=1, packed=0x80068001
Sending x=21, y=0, polarity=1, packed=0x80158000
Sending x=4, y=9, polarity=1, packed=0x80048009
Sending x=4, y=13, polarity=1, packed=0x8004800d
Sending x=8, y=14, polarity=1, packed=0x8008800e
Sending x=18, y=6, polarity=1, packed=0x80128006
Sending x=2, y=15, polarity=1, packed=0x8002800f
Sending x=15, y=16, polarity=1, packed=0x800f8010
Sending x=17, y=11, polarity=1, packed=0x8011800b
Sending x=8, y=14, polarity=1, packed=0x8008800e
Sending x=19, y=2, polarity=1, packed=0x80138002
Sending x=13, y=10, polarity=1, packed=0x800d800a
Sending x=19, y=12, polarity=1, packed=0x8013800c
Sending x=0, y=15, polarity=1, packed=0x8000800f
Sending x=1, y=9, polarity=1, packed=0x80018009
Sending x=19, y=16, polarity=1, packed=0x80138010
Sending x=13, y=14, polarity=1, packed=0x800d800e
Sending x=15, y=7, polarity=1, packed=0x800f8007
Sending x=22, y=11, polarity=1, packed=0x8016800b
Sending x=21, y=10, polarity=1, packed=0x8015800a
Sending x=12, y=10, polarity=1, packed=0x800c800a
Sending x=15, y=14, polarity=1, packed=0x800f800e
Sending x=7, y=11, polarity=1, packed=0x8007800b
Sending x=18, y=14, polarity=1, packed=0x8012800e
Sending x=18, y=15, polarity=1, packed=0x8012800f
Sending x=20, y=13, polarity=1, packed=0x8014800d
Sending x=13, y=14, polarity=1, packed=0x800d800e
Sending x=12, y=9, polarity=1, packed=0x800c8009
Sending x=2, y=0, polarity=1, packed=0x80028000
Sending x=21, y=16, polarity=1, packed=0x80158010
Sending x=22, y=4, polarity=1, packed=0x80168004
Sending x=19, y=15, polarity=1, packed=0x8013800f
Sending x=1, y=4, polarity=1, packed=0x80018004
Sending x=2, y=0, polarity=1, packed=0x80028000
Sending x=3, y=12, polarity=1, packed=0x8003800c
Sending x=8, y=4, polarity=1, packed=0x80088004
Sending x=6, y=1, polarity=1, packed=0x80068001
Sending x=9, y=7, polarity=1, packed=0x80098007
Sending x=1, y=8, polarity=1, packed=0x80018008
Sending x=4, y=4, polarity=1, packed=0x80048004
Sending x=2, y=5, polarity=1, packed=0x80028005
Sending x=1, y=10, polarity=1, packed=0x8001800a
Sending x=14, y=9, polarity=1, packed=0x800e8009
Sending x=13, y=14, polarity=1, packed=0x800d800e
Sending x=6, y=14, polarity=1, packed=0x8006800e
Sending x=18, y=2, polarity=1, packed=0x80128002
Sending x=17, y=6, polarity=1, packed=0x80118006
Sending x=17, y=14, polarity=1, packed=0x8011800e
Sending x=22, y=9, polarity=1, packed=0x80168009
Sending x=16, y=1, polarity=1, packed=0x80108001
Sending x=10, y=7, polarity=1, packed=0x800a8007
Sending x=21, y=14, polarity=1, packed=0x8015800e
Sending x=22, y=5, polarity=1, packed=0x80168005
Sending x=17, y=15, polarity=1, packed=0x8011800f
Sending x=22, y=15, polarity=1, packed=0x8016800f
Sending x=4, y=3, polarity=1, packed=0x80048003
Sending x=12, y=11, polarity=1, packed=0x800c800b
Sending x=15, y=4, polarity=1, packed=0x800f8004
Sending x=14, y=2, polarity=1, packed=0x800e8002
Sending x=16, y=2, polarity=1, packed=0x80108002
Sending x=9, y=10, polarity=1, packed=0x8009800a
Sending x=20, y=16, polarity=1, packed=0x80148010
Sending x=9, y=6, polarity=1, packed=0x80098006
Sending x=6, y=1, polarity=1, packed=0x80068001
Sending x=0, y=14, polarity=1, packed=0x8000800e
Sending x=14, y=6, polarity=1, packed=0x800e8006
Sending x=1, y=11, polarity=1, packed=0x8001800b
Sending x=2, y=7, polarity=1, packed=0x80028007
Sending x=23, y=7, polarity=1, packed=0x80178007
Sending x=18, y=4, polarity=1, packed=0x80128004
Sending x=18, y=11, polarity=1, packed=0x8012800b
Sending x=0, y=4, polarity=1, packed=0x80008004
Sending x=11, y=11, polarity=1, packed=0x800b800b
Sending x=18, y=5, polarity=1, packed=0x80128005
Sending x=7, y=8, polarity=1, packed=0x80078008
Sending x=20, y=10, polarity=1, packed=0x8014800a
Sending x=12, y=1, polarity=1, packed=0x800c8001
Sending x=5, y=17, polarity=1, packed=0x80058011
Sending x=9, y=13, polarity=1, packed=0x8009800d
Sending x=13, y=16, polarity=1, packed=0x800d8010
Sending x=20, y=12, polarity=1, packed=0x8014800c
Sending x=20, y=3, polarity=1, packed=0x80148003
Sending x=20, y=17, polarity=1, packed=0x80148011
Sending x=2, y=11, polarity=1, packed=0x8002800b
Sending x=16, y=4, polarity=1, packed=0x80108004
Sending x=12, y=5, polarity=1, packed=0x800c8005
Sending x=13, y=16, polarity=1, packed=0x800d8010
Sending x=0, y=1, polarity=1, packed=0x80008001
Sending x=11, y=17, polarity=1, packed=0x800b8011
Sending x=0, y=2, polarity=1, packed=0x80008002
Sending x=11, y=17, polarity=1, packed=0x800b8011
Sending x=19, y=5, polarity=1, packed=0x80138005
Sending x=12, y=7, polarity=1, packed=0x800c8007
Sending x=14, y=4, polarity=1, packed=0x800e8004
Sending x=21, y=3, polarity=1, packed=0x80158003
Sending x=11, y=14, polarity=1, packed=0x800b800e
Sending x=13, y=0, polarity=1, packed=0x800d8000
Sending x=10, y=2, polarity=1, packed=0x800a8002
Sending x=20, y=12, polarity=1, packed=0x8014800c
Sending x=22, y=1, polarity=1, packed=0x80168001
Sending x=11, y=3, polarity=1, packed=0x800b8003
Sending x=0, y=4, polarity=1, packed=0x80008004
Sending x=22, y=4, polarity=1, packed=0x80168004
Sending x=15, y=16, polarity=1, packed=0x800f8010
Sending x=16, y=4, polarity=1, packed=0x80108004
Sending x=4, y=8, polarity=1, packed=0x80048008
Sending x=23, y=16, polarity=1, packed=0x80178010
Sending x=11, y=3, polarity=1, packed=0x800b8003
Sending x=19, y=3, polarity=1, packed=0x80138003
Sending x=7, y=16, polarity=1, packed=0x80078010
Sending x=19, y=1, polarity=1, packed=0x80138001
Sending x=21, y=9, polarity=1, packed=0x80158009
Sending x=13, y=1, polarity=1, packed=0x800d8001
Sending x=10, y=9, polarity=1, packed=0x800a8009
Sending x=5, y=16, polarity=1, packed=0x80058010
Sending x=11, y=10, polarity=1, packed=0x800b800a
Sending x=8, y=12, polarity=1, packed=0x8008800c
Sending x=7, y=15, polarity=1, packed=0x8007800f
Sending x=19, y=2, polarity=1, packed=0x80138002
Sending x=18, y=3, polarity=1, packed=0x80128003
Sending x=3, y=10, polarity=1, packed=0x8003800a
Sending x=6, y=7, polarity=1, packed=0x80068007
Sending x=17, y=14, polarity=1, packed=0x8011800e
Sending x=22, y=11, polarity=1, packed=0x8016800b
Sending x=14, y=12, polarity=1, packed=0x800e800c
Sending x=1, y=2, polarity=1, packed=0x80018002
Sending x=11, y=1, polarity=1, packed=0x800b8001
Sending x=20, y=17, polarity=1, packed=0x80148011
Sending x=14, y=7, polarity=1, packed=0x800e8007
Sending x=22, y=14, polarity=1, packed=0x8016800e
Sending x=7, y=15, polarity=1, packed=0x8007800f
Sending x=2, y=8, polarity=1, packed=0x80028008
Sending x=15, y=0, polarity=1, packed=0x800f8000
Sending x=2, y=1, polarity=1, packed=0x80028001
Sending x=9, y=1, polarity=1, packed=0x80098001
Sending x=7, y=8, polarity=1, packed=0x80078008
Sending x=16, y=3, polarity=1, packed=0x80108003
Sending x=15, y=5, polarity=1, packed=0x800f8005
Sending x=13, y=6, polarity=1, packed=0x800d8006
Sending x=14, y=8, polarity=1, packed=0x800e8008
Sending x=11, y=12, polarity=1, packed=0x800b800c
Sending x=1, y=6, polarity=1, packed=0x80018006
Sending x=13, y=6, polarity=1, packed=0x800d8006
Sending x=6, y=6, polarity=1, packed=0x80068006
Sending x=2, y=2, polarity=1, packed=0x80028002
Sending x=22, y=14, polarity=1, packed=0x8016800e
Sending x=10, y=17, polarity=1, packed=0x800a8011
Sending x=9, y=10, polarity=1, packed=0x8009800a
Sending x=13, y=10, polarity=1, packed=0x800d800a
Sending x=13, y=12, polarity=1, packed=0x800d800c
Sending x=0, y=5, polarity=1, packed=0x80008005
Sending x=14, y=8, polarity=1, packed=0x800e8008
Sending x=16, y=6, polarity=1, packed=0x80108006
Sending x=22, y=10, polarity=1, packed=0x8016800a
Sending x=6, y=17, polarity=1, packed=0x80068011
Sending x=3, y=6, polarity=1, packed=0x80038006
Sending x=8, y=3, polarity=1, packed=0x80088003
Sending x=0, y=3, polarity=1, packed=0x80008003
Sending x=4, y=6, polarity=1, packed=0x80048006
Sending x=13, y=1, polarity=1, packed=0x800d8001
Sending x=15, y=0, polarity=1, packed=0x800f8000
Sending x=16, y=5, polarity=1, packed=0x80108005
Sending x=10, y=5, polarity=1, packed=0x800a8005
Sending x=15, y=17, polarity=1, packed=0x800f8011
Sending x=0, y=12, polarity=1, packed=0x8000800c
Sending x=7, y=11, polarity=1, packed=0x8007800b
Sending x=14, y=14, polarity=1, packed=0x800e800e
Sending x=5, y=15, polarity=1, packed=0x8005800f
Sending x=9, y=3, polarity=1, packed=0x80098003
Sending x=13, y=2, polarity=1, packed=0x800d8002
Sending x=22, y=5, polarity=1, packed=0x80168005
Sending x=13, y=13, polarity=1, packed=0x800d800d
Sending x=12, y=0, polarity=1, packed=0x800c8000
Sending x=19, y=3, polarity=1, packed=0x80138003
Sending x=20, y=7, polarity=1, packed=0x80148007
Sending x=11, y=8, polarity=1, packed=0x800b8008
Sending x=2, y=10, polarity=1, packed=0x8002800a
Sending x=0, y=11, polarity=1, packed=0x8000800b
Sending x=4, y=0, polarity=1, packed=0x80048000
Sending x=23, y=10, polarity=1, packed=0x8017800a
Sending x=12, y=9, polarity=1, packed=0x800c8009
Sending x=15, y=0, polarity=1, packed=0x800f8000
Sending x=23, y=14, polarity=1, packed=0x8017800e
Sending x=17, y=15, polarity=1, packed=0x8011800f
Sending x=12, y=3, polarity=1, packed=0x800c8003
Sending x=3, y=12, polarity=1, packed=0x8003800c
Sending x=9, y=0, polarity=1, packed=0x80098000
Sending x=14, y=17, polarity=1, packed=0x800e8011
Sending x=7, y=3, polarity=1, packed=0x80078003
Sending x=3, y=0, polarity=1, packed=0x80038000
Sending x=17, y=1, polarity=1, packed=0x80118001
Sending x=20, y=4, polarity=1, packed=0x80148004
Sending x=5, y=7, polarity=1, packed=0x80058007
Sending x=8, y=16, polarity=1, packed=0x80088010
Sending x=9, y=12, polarity=1, packed=0x8009800c
Sending x=19, y=1, polarity=1, packed=0x80138001
Sending x=16, y=6, polarity=1, packed=0x80108006
Sending x=22, y=14, polarity=1, packed=0x8016800e
Sending x=17, y=10, polarity=1, packed=0x8011800a
Sending x=13, y=9, polarity=1, packed=0x800d8009
Sending x=18, y=10, polarity=1, packed=0x8012800a
Sending x=14, y=16, polarity=1, packed=0x800e8010
Sending x=15, y=16, polarity=1, packed=0x800f8010
Sending x=22, y=2, polarity=1, packed=0x80168002
Sending x=2, y=11, polarity=1, packed=0x8002800b
Sending x=8, y=11, polarity=1, packed=0x8008800b
Sending x=20, y=1, polarity=1, packed=0x80148001
Sending x=11, y=13, polarity=1, packed=0x800b800d
Sending x=12, y=12, polarity=1, packed=0x800c800c
Sending x=16, y=14, polarity=1, packed=0x8010800e
Sending x=5, y=17, polarity=1, packed=0x80058011
Sending x=4, y=0, polarity=1, packed=0x80048000
Sending x=13, y=12, polarity=1, packed=0x800d800c
Sending x=19, y=0, polarity=1, packed=0x80138000
Sending x=16, y=9, polarity=1, packed=0x80108009
Sending x=3, y=7, polarity=1, packed=0x80038007
Sending x=9, y=7, polarity=1, packed=0x80098007
Sending x=9, y=8, polarity=1, packed=0x80098008
Sending x=10, y=11, polarity=1, packed=0x800a800b
Sending x=5, y=6, polarity=1, packed=0x80058006
Sending x=19, y=7, polarity=1, packed=0x80138007
Sending x=20, y=12, polarity=1, packed=0x8014800c
Sending x=2, y=15, polarity=1, packed=0x8002800f
Sending x=18, y=4, polarity=1, packed=0x80128004
Sending x=2, y=6, polarity=1, packed=0x80028006
Sending x=11, y=1, polarity=1, packed=0x800b8001
Sending x=20, y=0, polarity=1, packed=0x80148000
Sending x=19, y=15, polarity=1, packed=0x8013800f
Sending x=9, y=7, polarity=1, packed=0x80098007
Sending x=15, y=0, polarity=1, packed=0x800f8000
Sending x=13, y=1, polarity=1, packed=0x800d8001
Sending x=13, y=10, polarity=1, packed=0x800d800a
Sending x=21, y=8, polarity=1, packed=0x80158008
Sending x=14, y=16, polarity=1, packed=0x800e8010
Sending x=8, y=1, polarity=1, packed=0x80088001
Sending x=14, y=14, polarity=1, packed=0x800e800e
Sending x=17, y=1, polarity=1, packed=0x80118001
Sending x=4, y=1, polarity=1, packed=0x80048001
Sending x=2, y=0, polarity=1, packed=0x80028000
Sending x=14, y=6, polarity=1, packed=0x800e8006
Sending x=16, y=1, polarity=1, packed=0x80108001
Sending x=22, y=8, polarity=1, packed=0x80168008
Sending x=0, y=11, polarity=1, packed=0x8000800b
Sending x=8, y=5, polarity=1, packed=0x80088005
Sending x=12, y=17, polarity=1, packed=0x800c8011
Sending x=3, y=6, polarity=1, packed=0x80038006
Sending x=8, y=8, polarity=1, packed=0x80088008
Sending x=6, y=7, polarity=1, packed=0x80068007
Sending x=0, y=13, polarity=1, packed=0x8000800d
Sending x=11, y=11, polarity=1, packed=0x800b800b
Sending x=19, y=9, polarity=1, packed=0x80138009
Sending x=7, y=5, polarity=1, packed=0x80078005
Sending x=16, y=5, polarity=1, packed=0x80108005
Sending x=3, y=2, polarity=1, packed=0x80038002
Sending x=21, y=1, polarity=1, packed=0x80158001
Sending x=13, y=1, polarity=1, packed=0x800d8001
Sending x=11, y=15, polarity=1, packed=0x800b800f
Sending x=9, y=12, polarity=1, packed=0x8009800c
Sending x=23, y=6, polarity=1, packed=0x80178006
Sending x=12, y=8, polarity=1, packed=0x800c8008
Sending x=17, y=9, polarity=1, packed=0x80118009
Sending x=6, y=2, polarity=1, packed=0x80068002
Sending x=15, y=17, polarity=1, packed=0x800f8011
Sending x=0, y=8, polarity=1, packed=0x80008008
Sending x=17, y=17, polarity=1, packed=0x80118011
Sending x=18, y=17, polarity=1, packed=0x80128011
Sending x=6, y=5, polarity=1, packed=0x80068005
Sending x=13, y=4, polarity=1, packed=0x800d8004
Sending x=20, y=5, polarity=1, packed=0x80148005
Sending x=7, y=8, polarity=1, packed=0x80078008
Sending x=21, y=13, polarity=1, packed=0x8015800d
Sending x=20, y=6, polarity=1, packed=0x80148006
Sending x=6, y=8, polarity=1, packed=0x80068008
Sending x=5, y=1, polarity=1, packed=0x80058001
Sending x=2, y=9, polarity=1, packed=0x80028009
Sending x=8, y=0, polarity=1, packed=0x80088000
Sending x=7, y=17, polarity=1, packed=0x80078011
Sending x=18, y=8, polarity=1, packed=0x80128008
Sending x=15, y=8, polarity=1, packed=0x800f8008
Sending x=21, y=3, polarity=1, packed=0x80158003
Sending x=11, y=2, polarity=1, packed=0x800b8002
